Korean,English
킬로그램,4.0
킬로미터,"km, kilometer"
타격,blow
타르투,Tartu
타이밍,timing
타자기,typewriter
타지마할,Taj Mahal
탁구,table tennis
탁자,challenge
탄탄하다,internal medicine
탄화수소,hydrocarbon
탈것,vehicle
탈무드,Talmud
탈의실,"dressing room, changing room, locker room"
탈진하다,"to be exhausted, drained"
탈출하다,to escape
탈춤,masked dance
탐내다,"to want, desire, covet, have a craving"
탐험하다,"to explore, go on an expedition"
탑,"tower, pagoda"
탓,"alliance, partnership"
탕수육,sweet and sour pork
태국,Thailand
태권도,Taekwondo
태극기,national flag of Korea
태양,the Korean peninsula
태양계,solar system
태어나다,to be born
태어나요,to be born
태어날 거예요,to be born
태어났어요,to be born
태연하다,"to be calm, no nerves, composed, nonchalant, cool"
태엽,spring
태워주다,to give a person a ride
태워줄 거예요,to give a person a ride
태워줘요,to give a person a ride
태워줬어요,to give a person a ride
태즈메이니아 주,Tasmania
태풍,typhoon
택배,parcel delivery service
택시,taxi
탤런트,"TV actor, TV star"
터널,tunnel
터미널,terminal
터빈,turbine
터져요,"to be divided, split, distributed"
터졌어요,"to be divided, split, distributed"
터지다,"to be divided, split, distributed"
터진 구멍,hole
터질 거예요,"to be divided, split, distributed"
턱,"bandage, dressing"
턱수염,"lounge, resting room, waiting room"
털,"hair, fur, pubic hair, feather, fluff"
털 거예요,"to be arrogant, stuck-up, snobby"
털구멍,pore
털다,"to be arrogant, stuck-up, snobby"
털실,woolen yarn
털어요,"to be arrogant, stuck-up, snobby"
털었어요,"to be arrogant, stuck-up, snobby"
테니스,tennis
테이블,table
테이프,tape
텐트,tent
텔레비전,TV
토끼,rabbit
토론,"discussion, debate"
토론토,Toronto
토르,Thor
토마토,tomato
토박이,natives
토성,Saturn
토요일,Saturday
톤,phone number
톱,saw
통,"bucket, container, barrel"
통계학,statistics
통과하다,"to be refreshing, fresh"
통로,"aisle, passage, route, channel"
통상,trade
통장,bankbook
통조림,canned food
통증,"all directions everywhere, 4 sides, all sides"
통치,"rule, reign, governance"
통통하다,kettle
통화,currency
통화하다,to talk over the telephone
퇴근,"leave work, get off work"
퇴근시간,closing time
퇴원하다,to be discharged from the hospital
퇴장하다,Brazil
퇴적암,sedimentary rock
퇴직,retirement
투르 드 프랑스,Tour de France
투발루,Tuvalu
투수,pitcher
투자하다,"to invest, make an investment"
투키디데스,Thucydides
투표하다,"to vote, cast a ballot"
투혼,fighting spirit
툰드라,tundra
툴루즈,Toulouse
튀김,"fried food, fries"
튀링겐 주,Thuringia
튜링 기계,Turing machine
튤립,tulip
트라키아,Thrace
트랙터,tractor
트럭,truck
트로이아 전쟁,Trojan War
트롬본,trombone
트이다,"to get cleared, become better, open up, have an insight"
특별하다,"to be special, extraordinary"
특별히,"especially, particularly"
특성,"characteristic, nature, property, quality, attribute"
특이하다,"to be unusual, unique, interesting, very different"
특집,"special edition, special feature, special program"
특징,x
특히,"especially, particularly"
튼튼하다,"to be strong, solid, healthy, durable"
틀,frame
틀다,student ID
틀려요,"to be anxious, restless, impatient, nervous"
틀렸어요,"to be anxious, restless, impatient, nervous"
틀리다,"to be anxious, restless, impatient, nervous"
틀릴 거예요,"to be anxious, restless, impatient, nervous"
틀림없다,"all the time, continually"
틈,dome
티레니아 해,Tyrrhenian Sea
티셔츠,t-shirt
티켓,ticket
팀,team
팀장,team leader
파괴,ruin
파나마 운하,Panama Canal
파랄 거예요,to be blue
파랗다,to be blue
파래요,to be blue
파랬어요,to be blue
파르테논 신전,Parthenon
파마하다,to get a perm
파스,"pain relief patch, anti-inflammatory patch"
파시즘,fascism
파악하다,"to figure out, grasp, understand, comprehend, identify"
파업,"strike, walkout"
파인애플,pineapple
파일,file
파장,wavelength
파트너,partner
파티,"difficulty, trouble, problem, hardship"
파혼하다,to break off one's engagment
판,valve
판단하다,"to judge, decide, make a judgment, evaluate"
판매,curtain
판사,judge
팔,3.0
팔 거예요,to sell
팔각형,octagon
팔꿈치,elbow
팔다,to sell
팔분의자리,Octans
팔씨름하다,to arm wrestle
팔아요,to sell
팔았어요,to sell
팔찌,"bracelet, wristlet"
팥,red-beans
패배하다,"to be defeated, lose"
패션,"fashion, style"
패스하다,"to witness, observe, see through"
팩스,fax
팬,"charm, attractiveness, sex appeal"
팽창,"expansion, growth, increase, expand, swell"
퍼센트,percent
퍼스,Perth
퍼즐,puzzle
펄럭펄럭,"with a flutter, flapping"
펄쩍펄쩍,jumping up and down
펌프,pump
페니실린,penicillin
페르미온,fermion
페리클레스,Pericles
페이지,page
펜,pen
펜싱,fencing
펭귄,penguin
펴놓다,"to fire, dismiss"
펴다,divine punishment
편,x
편견,"prejudice, bias"
편도,almond
편리하다,"to be convenient, handy, easy to use"
편안하다,to clean
편의점,convenience store
편지,"letter, note"
편하다,orphan
편히,"conveniently, comfortably, easily"
펼쳐지다,"every nook and corner, everywhere"
펼치다,"detailed, precise, exact"
평가,"appraisal, evaluation, assessment, estimation"
평균,"average, mean"
평범하다,private school
평생,"lifetime, one's entire life until you die"
평소에,"crisis, emergency, critical situation"
평일,day of the week
평행의,parallel
평화,peace
폐,lung
폐렴,pneumonia
포근하다,"to be cozy, comfortable, warm, snug"
포기하다,"to give up, abandon, renounce"
포도,grape
포도당,glucose
포도주,wine
포물선,parabola
포세이돈,Poseidon
포스터,poster
포스트모더니즘,postmodernism
포위하다,"to surround, encircle, seige"
포즈,pose
포크,fork
포클랜드 제도,Falkland Islands
포털,portal
포트란,FORTRAN
포함하다,father's younger brother
폭,"handbag, purse"
폭격기,bomber
폭력,"violence, force"
폭로하다,"to disclose, expose, reveal"
폭설,heavy snowfall
폭탄,bomb
폭풍,"storm, windstorm"
폭풍우,"stone, anniversary"
폴리네시아,Polynesia
퐁당,with a splash
표,ticket
표면,surface
표명하다,"to express, state, indicate, announce"
표본,specimen
표시하다,"to be smart, clever, intelligent"
표적,"target, mark"
표정,facial expression
표준,"standard, criterion, average, norm"
표준어,standard language
표현,representation
표현주의,expressionism
푹,"deeply, soundly, carefully, well, completely, heavily"
풀 거예요,i think
풀다,i think
풀어요,i think
풀었어요,i think
품,supermarket
품목,"item name, list of goods"
품절되다,"to be out of stock, sold out"
품질,quality
풍겨요,"give off a smell, give off"
풍겼어요,"give off a smell, give off"
풍경화,landscape
풍기다,"give off a smell, give off"
풍길 거예요,"give off a smell, give off"
풍부한,abundant
풍선,balloon
풍습,"custom, manners"
프랑스 혁명,French Revolution
프랑스어,"no one, nobody"
프랙탈,fractal
프러포즈,marriage proposal
프로,"professional, pro"
프로그램,bowling
프로메테우스,Prometheus
프리온,prion
프린스에드워드아일랜드 주,Prince Edward Island
프린터,printer
플라스틱,plastic
플라톤,Plato
플란데런,Flanders
플랑크톤,plankton
플랫폼,platform
피,blood
피곤,"fatigue, exhaustion, tired"
피곤한,tired
피레네 산맥,Pyrenees
피로,"fatigue, exhaustion, tiredness"
피리,whistle
피보나치 수,Fibonacci number
피부,skin
피사,Pisa
피아노,piano
피자,pizza
피타고라스,Pythagoras
피해,"to reduce, cut down"
피해자,victim
핀,pin
핀란드 만,Gulf of Finland
필독,"required reading, must read"
필수,"essential, required, requirements, necessities"
필요하다,to be needed
필요한,necessary
필통,pencil case
하고,"and, with"
하나,6.0
하나도,"not one, not at all"
하나씩,"one by one, one at a time"
하는 일,"to reform, be reborn, turn over a new leaf"
하늘,"the sky, the heavens"
하늘색,sky blue
하다,to do
하락,"drop, fall, decrease, depreciate, come down"
하루,"heater, stove"
하룻밤,couple days ago
하마,hippo
하반기,the second half of the year
하숙집,boarding house
하양,"white, whiteness, white tint"
하양색,white
하이웨이,highway
하이쿠,haiku
하이퍼텍스트,hypertext
하이힐,high-heeled dress shoes
하지만,x
하키,hockey
하품하다,to yawn
하프,harp
학교,school
학기,semester
학년,"airplane, plane"
학생,student
학생증,student ID
학생회관,student center
학습,"learning, studies"
학원,"private institute, school, academy"
학위,academic degree
학자,scholar
학제,"school system, education system"
학창,"school, educational institution"
학회,institute
한 바늘,stitch
한가지,"to be exhausted, drained"
한가하다,"to be free, have leisure, have time to spare, be unhurried"
한강,Han River
한국 음식,korean food
한국 전쟁,Korean War
한국말,korean language
한글,Korean alphabet
한꺼번에,"all at once, all together, at the same time"
한라산,Mt. Halla
한반도,the Korean peninsula
한번,"one time, once"
한복,pearl
한산하다,"to be quiet, dull, calm, empty, inactive"
한숨,sigh
한식,Korean-style food
한식집,Korean restaurant
한심하다,to think
한없다,"to be unlimited, endless"
한옥,Korean-style house
한자,Chinese character
한자 동맹,Hanseatic League
한잔하다,to have a drink
한쪽,"one side, one way, one part"
한참,x
한턱내다,to treat to a meal or a drink
한턱내요,to treat to a meal or a drink
한턱낼 거예요,to treat to a meal or a drink
한턱냈어요,to treat to a meal or a drink
할로젠,halogen
할리우드,Hollywood
할머니,grandmother
할부,monthly installment plan
할인,discount
함께,"to taste, try, experience"
함부로,"thoughtlessly, carelessly, rashly, without permission"
함부르크,Hamburg
함장,captain
합격하다,"to pass an exam, get accepted, pass inspection, become qualified"
합계,"sum, total, aggregate"
합동,union
합리적,"rational, reasonable, logical"
합창,"chorus, ensemble"
합창단,"choir, chorus"
핫도그,hotdog
항공,"black, a dark color"
항공권,airline ticket
항공기,aircraft
항공편,flight
항구,"port, harbor"
항문,anus
항의하다,protest
항체,antibody
해,"to be unlimited, endless"
해결하다,"to solve a question, solve a problem, resolve, settle, fix"
해고하다,"to fire, dismiss"
해내다,"accomplish, achieve, manage to do, win"
해돋이,sunrise
해롭다,"to be harmful, bad, detrimental"
해면,sponge
해명하다,to be familiar
해바라기,sunflower
해변,beach
해보다,"with a flutter, flapping"
해산물,"seafood, marine products"
해수,"seawater, salt water"
해수욕장,swimming beach
해안,"coast, seaside, seashore"
해양,"the ocean, marine"
해왕성,Neptune
해외,"foreign country, abroad, overseas"
해쳐요,"to injure, harm, damage, hurt"
해쳤어요,"to injure, harm, damage, hurt"
해치다,"to injure, harm, damage, hurt"
해칠 거예요,"to injure, harm, damage, hurt"
해커,hacker
해파리,jellyfish
핸드백,"handbag, purse"
핸드폰,cell phone
햄,ham
햄릿,Hamlet
햄버거,hamburger
햄스터,hamster
햇빛,secret
햇살,x
행동,bean sprouts
행렬,procession
행방,one's whereabouts
행복하다,"to exchange, trade, swap"
행복한,happy
행사,"swimming, bathing, swim"
행성,planet
행운,"good luck, good fortune, lucky break"
행위,side effect
행인,"passerby, pedestrian"
향,"scent, fragrance"
향기,"scent, fragrance"
향기롭다,"to be fragrant, aromatic, sweet smelling"
향상되다,"to become better, improve, advance, progress"
허가,permission
허구,fiction
허락하다,"to be strong, solid, healthy, durable"
허리,travel agency
허리띠,belt
허무,"futility, vain, emptiness"
허용되다,"to be allowed, permitted, be approved"
허전하다,"to feel empty, lonesome, hungry"
허탈하다,"to be dejected, dispirited"
헌,"old, shabby, used"
험하다,to betray
헛간,barn
헛소리,"nonsense, silly talk, gibberish, garbage"
헛소문,"groundless rumor, false rumor"
헤라클레이토스,Heraclitus
헤로도토스,Herodotus
헤르메스,Hermes
헤스티아,Hestia
헤시오도스,Hesiod
헤어스타일,hairstyle
헤어져요,"to break up, part, separate, split"
헤어졌어요,"to break up, part, separate, split"
헤어지다,"to break up, part, separate, split"
헤어질 거예요,"to break up, part, separate, split"
헥타르,hectare
헥토르,Hector
헬멧,"helmet, safety hat"
헬스클럽,"health club, gym, fitness center"
헷갈려요,law
헷갈렸어요,law
헷갈리다,law
헷갈릴 거예요,law
혀,tongue
혁명,revolution
현관,"front door, entrance"
현금,"home, family, household"
현대,"modern times, today, present era"
현대인,modern people
현무암,basalt
현미경,microscope
현미경자리,Microscopium
현실,"actuality, reality"
현실적,procedure
현장 부재 증명,alibi
현재,present tense
현재 진행형,present progressive
현재의,present
현지,"local, current location of an object or thing"
혈압,blood pressure
혈액,blood
혐오,disgust
협곡,ravine
협상,"negotiation, talks, bargaining"
협찬하다,"to sponsor, support, make a contribution"
형,"older brother, form, type"
형부,the husband of a girl's elder sister
형사,beginning of semester
형수,"one's elder brother's wife, sister in law"
형용사,adjective
형이상학,metaphysics
형제,"brothers, siblings"
형태,"beauty parlor, hairdresser's"
형태소,morpheme
혜성,comet
호감,"good feeling, favorable impression"
호니아라,Honiara
호두,walnut
호라티우스,Horace
호루스,Horus
호메로스,Homer
호박,amber
호선,light brown
호수,cold water
호응,"to sulk, be ticked off"
호의,"goodwill, kindness, favor"
호적,family register
호출기,"pager, beeper"
호칭,"title, name, address"
호텔,hotel
호흡하다,x
혹은,"separately, individually"
혼동하다,"quotation, citation"
혼란,"confusion, turmoil, chaos, mixed up"
혼자,alone
혼자서,"by oneself, to oneself, in solitude, all by oneself"
혼합물,mixture
홀랑,"eternally, permanently, last endlessly without changing"
홀로,"separately, individually"
홀숩,odd number
홈페이지,"website, home page"
홍대,Hongdae
홍수,"flood, deluge, torrent"
홍차,"black tea, red tea"
홍콩,Hong Kong
홍해,Red Sea
화가,"painter, artist"
화가자리,Pictor
화강암,granite
화나다,"to be angry, mad"
화나요,"to be angry, mad"
화날 거예요,"to be angry, mad"
화났어요,"to be angry, mad"
화내다,"to get angry, be mad at, vent one's anger"
화내요,"to get angry, be mad at, vent one's anger"
화낼 거예요,"to get angry, be mad at, vent one's anger"
화냈어요,"to get angry, be mad at, vent one's anger"
화랑,art gallery
화려하다,x
화로자리,Fornax
화면,"outdoors, outside the room or house"
화분,"flower pot, plant pot"
화산,volcano
화살,arrow
화살자리,Sagitta
화석,fossil
화성,Mars
화염,"flame, blaze"
화요일,Tuesday
화장실,"toilet, bathroom, restroom"
화장품,"cosmetics, makeup"
화재,fire
화학자,chemist
화해하다,"to be reconciled, make up with, settle, compromise"
확대하다,"appearance, look, facial features"
확률,"probability, chance, likelihood"
확실하다,"to be certain, be reliable, for sure, definite, confident"
확실히,balloon
확인하다,"grave, tomb"
확장하다,"to expand, extend, enlarge, broaden"
확정하다,"to determine, finalize, decide, confirm, settle, fix"
환갑,sixtieth birthday
환경,key
환불,"refund, money back"
환상,"illusion, fantasy"
환상적,"feeling of guilt, guilty conscience"
환승하다,x
환영,hallucination
환영하다,"wireless, radio"
환율,exchange rate
환자,"all directions everywhere, 4 sides, all sides"
환전하다,"to exchange money, exchange something for something"
환절기,change of seasons
환하다,"to take time off from school, leave of absence"
환호하다,"to cheer, shout for joy"
활,bow
활동,"situation, state of things, circumstances, condition"
활동적인,active
활석,chalk
활용하다,"to witness, observe, see through"
황당하다,"to be ridiculous, absurd, nonsensical"
황도,ecliptic
황동,brass
황새,stork
황새치자리,Dorado
황소,bull
황제,emperor
횃불,torch
회,Insadong
회계,"accounting, bookkeeping"
회계사,"accountant, CPA"
회교 사원,mosque
회문,palindrome
회비,"membership fee, subscription, dues"
회사,"sleeping together, sharing a bed"
회사원,in one's sleep
회색,gray
회식,cleaning
회원,"member, membership"
회의,challenge
회의실,"meeting room, conference room"
회장,"rainy season, monsoon season, rainy spell"
회전목마,"carousel, merry-go-round"
회전하다,"the suburbs, outside the city limits"
획득하다,"to acquire, gain, win, obtain"
횟수,"to be nothing more than, only, merely"
횡단보도,crosswalk
횡설수설하다,"to talk nonsense, gibberish, babble, speak incoherently"
횡재,"unexpected gain or profit without expectation or effort, windfall"
효과,"effect, efficiency, effectiveness"
효녀,devoted daughter
효소,enzyme
효율적,"efficient, efficiency"
후반,"second half, latter part"
후식,dessert
후원,"support, backing, sponsorship"
후추,black pepper
후춧가루,ground pepper
후회,regret
후회하다,to regret
훌륭하다,x
훔치다,steal
휴가,baseball
휴가철,living room
휴게실,"lounge, resting room, waiting room"
휴대전화,"influence, effect, impact"
휴양지,"rest area, resort, vacation spot"
휴지,car
휴지통,"trash can, wastebasket, recycling bin"
휴학하다,"to take time off from school, leave of absence"
흉기,"deadly weapon, lethal weapon"
흐르다,"leisure, spare time, free time"
흐를 거예요,"leisure, spare time, free time"
흑인,"black, ethnic African"
흔하다,"to be common, commonplace"
흔한,common
흔히,"commonly, frequently, generally, ordinarily, often"
흘러내리다,"to run down, trickle down, flow down, slide down"
흘러요,"leisure, spare time, free time"
흘렀어요,"leisure, spare time, free time"
흘리다,"sometimes, now and the, often, more often than not"
흡연석,smoking section
흥미진진하다,"to be exciting, interesting, absorbing"
흥정하다,"to bargain, haggle over terms, negotiate"
흩날리다,"to scatter, flutter, blow"
희다,"to be white, fair"
희망,x
희망하다,hope
희미하다,"to be dim, faint, vague"
희생하다,"alliance, partnership"
희어요,"to be white, fair"
희었어요,"to be white, fair"
흰,white
히로시마 시,Hiroshima
히포크라테스,Hippocrates
힘,strength
힘들 거예요,"to be difficult, tiring, painful"
힘들다,"to be difficult, tiring, painful"
힘들어요,"to be difficult, tiring, painful"
힘들었어요,"to be difficult, tiring, painful"
