input,explanation,answer
It's not designed to cure home with unpleasant smell (7),' it's not designed to cure ' is the definition. ' home with unpleasant smell ' is the wordplay. ' home ' becomes ' place ' ('place' can be a synonym of 'home'**) . ' with ' is a charade indicator (letters next to each other). ' unpleasant smell ' becomes ' bo ' (informal abbreviation for body odour) . ' place '+' bo '=' PLACEBO ',placebo
Certain ablutions queen abandoned (14),' certain ' is the definition. (thesaurus) ' ablutions queen abandoned ' is the wordplay. ' abandoned ' indicates an anagram. ' ablutions '+' queen '=' ablutionsqueen ' ' ablutionsqueen ' with letters rearranged gives ' UNQUESTIONABLE '.,unquestionable
Serves up duck covered in wine in company (5),' company ' is the definition. (thesaurus) ' serves up duck covered in wine ' is the wordplay. ' serves up ' says the letters should be written in reverse. ' duck ' becomes ' o '. ' covered in ' indicates putting letters inside. ' wine ' becomes ' port ' (port is a kind of wine**) . ' o ' inserted within ' port ' is ' poort '. ' poort ' backwards is ' TROOP '. ' in ' is the link.,troop
Reinforce only the lock (8),' reinforce ' is the definition. (thesaurus) ' only the lock ' is the wordplay. ' only ' becomes ' but '  . ' the lock ' becomes ' tress '  . ' but '+' tress '=' BUTTRESS ',buttress
Flash Power's a floor cleaner (6),' floor cleaner ' is the definition. ' flash power's a ' is the wordplay. ' flash ' becomes ' mo '  . ' power ' becomes ' p '. ' a ' becomes ' per '. ' mo '+' p '+' per '=' MOPPER ',mopper
Doctor drinking whisky in tumbler? (5),' tumbler? ' is the definition.  ' doctor drinking whisky ' is the wordplay. ' doctor ' becomes ' dr ' ('Dr' can be a synonym of 'doctor') . ' drinking ' indicates putting letters inside. ' whisky ' becomes ' rye ' (rye whisky is a kind of whisky) . ' dr ' going around ' rye ' is ' DRYER '. ' in ' is the link.,dryer
"Like some religious leaders, babble endlessly in upset state? (10)",' like some religious leaders ' is the definition. ' babble endlessly in upset state? ' is the wordplay. ' babble ' becomes ' rabbit '. ' endlessly ' means to remove the last letter. ' upset ' says the letters should be written backwards. ' state? ' becomes ' cal '  . ' in ' in reverse letter order is ' ni '. ' rabbi t ' with its final letter taken away is ' rabbi '. ' rabbi '+' ni '+' cal '=' RABBINICAL ',rabbinical
"Black on top, not soft, dessert shows potential (7)",' shows potential ' is the definition. ' black on top not soft dessert ' is the wordplay. ' black ' becomes ' b ' (as in pencil classifications) . ' on top ' is a charade indicator (letters next to each other). ' not ' indicates named letters should be taken away. ' soft ' becomes ' p ' (musical abbreviation for 'piano') . ' dessert ' becomes ' pudding ' (pudding is a kind of dessert) . ' pudding ' with ' p ' removed is ' udding '. ' b '+' udding '=' BUDDING ',budding
"Speak badly of drug, taken regularly in tiny amount (7)",' speak badly of ' is the definition.  ' drug taken regularly in tiny amount ' is the wordplay. ' taken regularly ' means one should take alternating letters. ' in ' is an insertion indicator. ' tiny amount ' becomes ' trace '  . The alternate letters of ' d r u g ' are ' du '. ' du ' placed into ' trace ' is ' TRADUCE '.,traduce
Really sharpens ends of tool facing yard (8),' really ' is the definition.  ' sharpens ends of tool facing yard ' is the wordplay. ' sharpens ' becomes ' hones ' (honing is a kind of sharpening) . ' ends of ' means to remove the middle letters. ' facing ' is a charade indicator (letters next to each other). ' yard ' becomes ' y '. ' t oo l ' with its centre taken out is ' tl '. ' hones '+' tl '+' y '=' HONESTLY ',honestly
New fiddle not seeing debut in gentle movement (5),' gentle movement ' is the definition. ' new fiddle not seeing debut ' is the wordplay. ' new ' becomes ' n '. ' fiddle ' becomes ' fudge ' (both can mean to scam) . ' not seeing debut ' means to remove the first letter. ' f udge ' with its first letter removed is ' udge '. ' n '+' udge '=' NUDGE ' ' in ' acts as a link.,nudge
The most recent to lose heart at last? (6),' the most recent ' is the definition. (thesaurus) ' to lose heart at last? ' is the wordplay. ' to ' becomes ' shut '  . ' lose heart ' suggests removing the centre  . ' at ' says to put letters next to each other  . ' last? ' becomes ' late ' ('late' can be similar in meaning to 'last'**) . ' s hu t ' with its centre taken out is ' st '. ' st ' put after ' late ' is ' LATEST '.,latest
Greeting government agency circular (4),' greeting ' is the definition.  ' government agency circular ' is the wordplay. ' government agency ' becomes ' cia '. ' circular ' becomes ' o '  . ' cia '+' o '=' CIAO ',ciao
Charming woman that tests consumer products on the radio (5),' charming woman ' is the definition. ' that tests consumer products on the radio ' is the wordplay. ' that tests consumer products ' becomes ' which ' (consumer magazine Which) . ' on the radio ' shows a homophone (sound like). ' which ' is a homophone of ' WITCH '.,witch
Feel uneasy about importing a plant (6),' plant ' is the definition. (yarrow is a kind of plant) ' feel uneasy about importing a ' is the wordplay. ' feel uneasy ' becomes ' worry '. ' about ' is a reversal indicator. ' importing ' means one lot of letters goes inside another. ' worry ' written backwards gives ' yrrow '. ' yrrow ' placed around ' a ' is ' YARROW '.,yarrow
Vocally object to coal being obtained thus? (5),' coal being obtained thus? ' is the definition. (coal is mined) ' vocally object to ' is the wordplay. ' vocally ' indicates a 'sounds like' (homophone) clue. ' object to ' becomes ' mind '  . ' mind ' is a homophone of ' MINED '.,mined
Begins with writers on love (5),"' begins ' is the definition. (opening is a kind of begining) ' writers on love ' is the wordplay. ' writers ' becomes ' pens '  . ' on ' says to put letters next to each other. ' love ' becomes ' o ' (In tennis, 'love' means 'zero') . ' pens ' after ' o ' is ' OPENS '. ' with ' acts as a link.",opens
Rush to expel German? Yes (4),' yes ' is the definition. (thesaurus) ' rush to expel german? ' is the wordplay. ' rush ' becomes ' surge ' ('surge' can be a synonym of 'rush') . ' to expel ' is a deletion indicator. ' german? ' becomes ' g ' (abbreviation) . ' surge ' with ' g ' taken out is ' SURE '.,sure
Embrocation finally rubbed into chest — awful stink (6),' stink ' is the definition. ('stench' can be a synonym of 'stink') ' embrocation finally rubbed into chest awful ' is the wordplay. ' finally ' indicates one should take the final letters. ' rubbed into ' indicates putting letters inside. ' awful ' indicates an anagram. The last letter of ' embrocatio n ' is ' n '. ' chest ' with letters rearranged gives ' stech '. ' n ' going inside ' stech ' is ' STENCH '.,stench
Street vendors borrow nuts fed to horses (6-4),' street vendors ' is the definition. ' borrow nuts fed to horses ' is the wordplay. ' nuts ' is an anagram indicator (nuts can mean crazy) . ' fed to ' is an insertion indicator. ' horses ' becomes ' bays '. ' borrow ' is an anagram of ' rrowbo '. ' rrowbo ' placed inside ' bays ' is ' BARROW-BOYS '.,barrow-boys
"Tradesman, quietly, to move awkwardly (7)",' tradesman ' is the definition.  ' quietly to move awkwardly ' is the wordplay. ' quietly ' becomes ' p ' (p for piano and quiet) . ' to move awkwardly ' becomes ' lumber '  . ' p '+' lumber '=' PLUMBER ',plumber
Fetid coloured liquid entering wound (8),' fetid ' is the definition. ('stinking' can be a synonym of 'fetid') ' coloured liquid entering wound ' is the wordplay. ' coloured liquid ' becomes ' ink '. ' entering ' indicates putting letters inside. ' wound ' becomes ' sting '. ' ink ' inserted within ' sting ' is ' STINKING '.,stinking
Chaps score in terms of intellect (8),' in terms of intellect ' is the definition. ' chaps score ' is the wordplay. ' chaps ' becomes ' men '  . ' score ' becomes ' tally ' (tally is a kind of score) . ' men '+' tally '=' MENTALLY ',mentally
As in Rome to stop the Spanish getting even (5),"' even ' is the definition.  ' as in rome to stop the spanish ' is the wordplay. ' as in rome ' becomes ' qua ' (Latin word meaning 'in the role of', 'as') . ' to stop ' indicates putting letters inside. ' the spanish ' becomes ' el '. ' qua ' inserted within ' el ' is ' EQUAL '. ' getting ' is the link.",equal
Pulse member finally ate with hesitation (6),' pulse ' is the definition.  ' member finally ate with hesitation ' is the wordplay. ' member ' becomes ' leg '  . ' finally ' says to take the final letters. ' with ' means one lot of letters go next to another. ' hesitation ' becomes ' um '. The final letter of ' at e ' is ' e '. ' e ' after ' um ' is ' ume '. ' leg '+' ume '=' LEGUME ',legume
"He's ripped on the outside, one very trim (5)",' trim ' is the definition. (shaving is a kind of trimming) ' he's ripped on the outside one very ' is the wordplay. ' ripped ' indicates anagramming the letters. ' on the outside ' indicates putting letters inside. ' one ' becomes ' a ' (**) . ' very ' becomes ' v ' (abbreviation) . ' hes ' anagrammed gives ' she '. ' a '+' v '=' av ' ' she ' going around ' av ' is ' SHAVE '.,shave
"Unfortunately meet Bond, getting buried (8)",' buried ' is the definition. ('entomb' can be a synonym of 'bury') ' unfortunately meet bond getting ' is the wordplay. ' unfortunately ' indicates anagramming the letters. ' getting ' means one lot of letters go next to another. ' meet '+' bond '=' meetbond ' ' meetbond ' with letters rearranged gives ' ENTOMBED '.,entombed
Alarms the leads in The Lady Eve surrounded by celebrities (8),' alarms ' is the definition.  ' the leads in the lady eve surrounded by celebrities ' is the wordplay. ' the leads in ' indicates taking the first letters  . ' surrounded by ' means one lot of letters goes inside another. ' celebrities ' becomes ' stars '  . The first letters of ' t he l ady e ve ' is ' tle '. ' tle ' inserted inside ' stars ' is ' STARTLES '.,startles
"Beeb, lacking leader, is free (5)",' is free ' is the definition. (thesaurus) ' beeb lacking leader ' is the wordplay. ' beeb ' becomes ' auntie ' (both are nicknames for the BBC) . ' lacking leader ' means to remove the first letter. ' a untie ' with its initial letter taken away is ' UNTIE '.,untie
"Finally, Usain Bolt cramped (6)",' cramped ' is the definition. (thesaurus) ' finally usain bolt ' is the wordplay. ' finally ' indicates one should take the final letters. ' bolt ' becomes ' arrow '  . The final letter of ' usai n ' is ' n '. ' n '+' arrow '=' NARROW ',narrow
"Short journey to exchange safety device (4,6)",' safety device ' is the definition. ' short journey to exchange ' is the wordplay. ' short journey ' becomes ' trip '  . ' to exchange ' becomes ' switch ' (switching is a kind of exchanging) . ' trip '+' switch '=' TRIP SWITCH ',trip switch
Swear at the Spanish in a letter (5),' a letter ' is the definition. (vowel is a kind of letter) ' swear at the spanish ' is the wordplay. ' swear ' becomes ' vow '  . ' at ' is a charade indicator (letters next to each other). ' the spanish ' becomes ' el '. ' vow '+' el '=' VOWEL ' ' in ' acts as a link.,vowel
Harass Medical Officer in case (6),' harass ' is the definition.  ' medical officer in case ' is the wordplay. ' medical officer ' becomes ' mo ' (this could be a standard abbreviation of which I'm unaware) . ' in case ' becomes ' lest '  . ' mo '+' lest '=' MOLEST ',molest
Religious books are about Greek goddess (5),' greek goddess ' is the definition. (one of the Greek muses) ' religious books are about ' is the wordplay. ' religious books ' becomes ' ot ' (Old Testament) . ' about ' says the letters should be written backwards. ' ot '+' are '=' otare ' ' otare ' backwards is ' ERATO '.,erato
Plaintiff's account primarily compromised client (7),' plaintiff's ' is the definition. (thesaurus) ' account primarily compromised client ' is the wordplay. ' account ' becomes ' ac '. ' primarily ' indicates taking the first letters. ' client ' becomes ' user '. The first letter of ' c ompromised ' is ' c '. ' ac '+' c '+' user '=' ACCUSER ',accuser
"Spicy food pioneer cooked, keeping very quiet (9)",' spicy food ' is the definition.  ' pioneer cooked keeping very quiet ' is the wordplay. ' cooked ' is an anagram indicator. ' keeping ' means one lot of letters goes inside another. ' very quiet ' becomes ' pp '. ' pioneer ' with letters rearranged gives ' peeroni '. ' peeroni ' enclosing ' pp ' is ' PEPPERONI '.,pepperoni
"Give ground with defender shown red card? (4,3)","' give ground ' is the definition. ' with defender shown red card? ' is the wordplay. ' with ' means one lot of letters go next to another. ' defender ' becomes ' back '  . ' shown red card? ' becomes ' off ' (in football, a player shown a red card is sent off) . ' back ' next to ' off ' is ' BACK OFF '.",back off
